Player,Position,GP,GPG,APG,PPG,PlayerID
Joel Ward,RW,71,0.18,0.30,0.48,wardjo02
Joey MacDonald,G,6,0.00,0.00,0.00,macdojo01
Joffrey Lupul,C,23,0.43,0.17,0.61,lupuljo01
Johan Backlund,G,1,0.00,0.00,0.00,backljo01
Johan Franzén,C,27,0.37,0.41,0.78,franzjo01
Johan Hedberg,G,47,0.00,0.02,0.02,hedbejo01
Johan Motin,D,1,0.00,0.00,0.00,motinjo01
John Carlson,D,22,0.05,0.23,0.27,carlsjo01
John Curry,G,1,0.00,0.00,0.00,curryjo01
John Erskine,D,50,0.02,0.10,0.12,erskijo01
John Madden,C,79,0.13,0.16,0.29,maddejo01
John McCarthy,LW,4,0.00,0.00,0.00,mccarjo01
