,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
82,Ben Scrivens,26,TOR,G,20,0,0.00,0.00,0.00,0.00,0.30,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,3.5,0,,,,scrivbe01
83,Ben Smith,24,CHI,RW,1,1,1.00,0.00,1.00,0.55,0.00,1.00,2,0,2,1,1,0,0,0,1,0.2,0.1,0.2,0,,,,smithbe01
84,Ben Street,25,CGY,C,6,0,0.00,0.17,0.17,0.05,0.00,2.17,0,2,2,1,2,0,3,0,-1,-0.1,0.1,-0.1,0,,,,streebe01
85,Benn Ferriero,25,NYR,C,4,0,0.00,0.25,0.25,0.07,0.00,1.00,0,2,2,1,1,0,1,0,0,0.0,0.0,0.1,0,,,,ferribe01
86,Benoît Pouliot,26,TBL,LW,34,7,0.24,0.35,0.59,0.22,0.44,1.76,15,22,37,14,30,4,18,0,8,1.8,0.7,2.5,0,,,,poulibe01
87,Bill Sweatt,24,VAN,LW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,-0.1,0,,,,sweatbi01
88,Blair Jones,26,CGY,C,15,0,0.00,0.07,0.07,0.02,0.67,1.47,0,2,2,1,1,0,8,1,-6,-0.3,-0.1,-0.4,1,0,1,0.0,jonesbl01
89,Blake Comeau,26,TOT,RW,42,5,0.14,0.14,0.29,0.11,0.48,1.14,12,12,24,10,17,0,26,5,-4,0.6,0.4,1.0,0,,,,comeabl01
89,Blake Comeau,26,CGY,RW,33,3,0.12,0.09,0.21,0.09,0.42,1.33,8,6,14,6,10,0,23,4,-9,0.1,0.1,0.2,0,,,,comeabl01
89,Blake Comeau,26,CBJ,RW,9,2,0.22,0.33,0.56,0.21,0.67,0.44,4,6,10,4,7,0,3,1,5,0.5,0.3,0.8,0,,,,comeabl01
90,Blake Wheeler,26,WPG,RW,48,16,0.40,0.46,0.85,0.34,0.58,2.69,37,41,78,31,55,11,48,1,-3,4.2,0.8,5.0,5,2,3,40.0,wheelbl01
91,Bobby Butler,25,TOT,LW,34,4,0.12,0.21,0.32,0.12,0.12,1.21,8,13,21,8,16,7,17,0,-8,0.6,0.1,0.8,0,,,,butlebo01
91,Bobby Butler,25,NSH,LW,20,3,0.15,0.30,0.45,0.16,0.20,1.40,6,11,17,6,13,4,11,0,-2,0.7,0.2,0.9,0,,,,butlebo01
91,Bobby Butler,25,NJD,LW,14,1,0.07,0.07,0.14,0.06,0.00,0.93,2,2,4,2,3,3,6,0,-6,0.0,-0.1,-0.1,1,0,1,0.0,butlebo01
92,Bobby Ryan,25,ANA,RW,46,11,0.24,0.41,0.65,0.24,0.37,2.20,21,35,56,21,46,14,29,0,3,2.4,0.9,3.3,5,2,3,40.0,ryanbo01
93,Bobby Sanguinetti,24,CAR,D,37,2,0.05,0.11,0.16,0.06,0.11,1.30,4,7,11,4,20,1,28,3,-6,0.3,0.4,0.7,0,,,,sangubo01
94,Boyd Gordon,29,PHX,RW,48,5,0.08,0.21,0.29,0.10,0.17,1.23,8,19,27,10,22,2,35,15,0,0.0,0.7,0.7,0,,,,gordobo01
95,Bracken Kearns,31,SJS,C,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,kearnbr01
96,Brad Boyes,30,NYI,C,48,12,0.21,0.52,0.73,0.25,0.33,2.02,19,47,66,23,52,22,37,1,-6,2.6,0.7,3.2,6,2,4,33.3,boyesbr01
97,Brad Malone,23,COL,C/LW,13,1,0.08,0.08,0.15,0.06,1.23,0.77,2,2,4,2,3,0,11,1,-7,0.0,-0.2,-0.2,0,,,,malonbr01
98,Brad Marchand,24,BOS,C,45,15,0.40,0.40,0.80,0.32,0.60,2.02,35,34,69,28,48,9,19,3,23,3.9,1.8,5.7,6,2,4,33.3,marchbr03
99,Brad Richards,32,NYR,C,46,12,0.24,0.50,0.74,0.27,0.30,2.39,21,43,64,23,47,14,26,1,8,2.8,1.3,4.0,3,0,3,0.0,richabr01
