,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
395,Jed Ortmeyer,27,NYR,RW,78,3,0.06,0.03,0.09,0.04,0.49,1.15,5,2,7,3,17,0,42,27,2,-1.4,1.1,-0.3,0,,,,ortmeje01
396,Jeff Carter,21,PHI,C,81,18,0.28,0.23,0.52,0.22,0.49,2.33,23,18,41,17,65,21,37,3,10,3.7,1.3,4.9,0,,,,carteje01
397,Jeff Cowan,29,LAK,RW,46,5,0.17,0.02,0.20,0.10,1.59,1.15,8,1,9,5,12,0,23,3,-8,0.5,0.1,0.6,0,,,,cowanje01
398,Jeff Friesen,29,TOT,LW,51,4,0.08,0.14,0.22,0.08,0.63,1.47,4,7,11,4,23,9,29,0,-15,-0.5,0.1,-0.4,0,,,,friesje01
398,Jeff Friesen,29,WSH,LW,33,3,0.09,0.12,0.21,0.08,0.73,1.94,3,4,7,3,17,8,20,0,-11,-0.4,0.0,-0.4,0,,,,friesje01
398,Jeff Friesen,29,MDA,LW,18,1,0.06,0.17,0.22,0.07,0.44,0.61,1,3,4,1,6,1,9,0,-4,-0.1,0.1,0.0,0,,,,friesje01
399,Jeff Giuliano,26,LAK,LW,48,3,0.06,0.08,0.15,0.06,0.54,0.67,3,4,7,3,12,0,24,12,0,-0.4,0.5,0.1,0,,,,giulije01
400,Jeff Halpern,29,WSH,C,70,15,0.16,0.47,0.63,0.22,1.13,2.16,11,32,43,15,78,40,86,40,-8,1.5,0.9,2.5,0,,,,halpeje01
401,Jeff Hamilton,28,NYI,C,13,3,0.15,0.46,0.62,0.20,0.62,2.23,2,6,8,3,11,6,5,0,0,0.6,0.2,0.7,0,,,,hamilje01
402,Jeff Hoggan,27,STL,LW,52,3,0.04,0.12,0.15,0.05,0.65,1.15,2,6,8,3,11,0,29,2,-16,-0.4,0.1,-0.3,0,,,,hoggaje01
403,Jeff Jillson,25,BUF,D,2,0,0.00,0.00,0.00,0.00,2.00,0.50,0,0,0,0,0,0,1,1,0,0.0,0.1,0.0,0,,,,jillsje01
404,Jeff O'Neill,29,TOR,RW,74,15,0.26,0.26,0.51,0.21,0.86,2.28,19,18,37,15,61,34,48,2,-19,2.8,0.4,3.2,0,,,,oneilje01
405,Jeff Taffe,24,TOT,C,4,0,0.00,0.00,0.00,0.00,0.00,0.75,0,0,0,0,0,0,0,0,0,-0.1,0.0,0.0,0,,,,taffeje01
405,Jeff Taffe,24,NYR,C,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,taffeje01
405,Jeff Taffe,24,PHX,C,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,-0.1,0.0,0.0,0,,,,taffeje01
406,Jeff Tambellini,21,TOT,LW,25,1,0.04,0.12,0.16,0.05,0.40,0.68,1,3,4,1,9,0,8,0,1,-0.2,0.3,0.1,0,,,,tambeje01
