,Team A,Asset Sent,Asset Received,Team B,Num Players Sent,Num Player Received,Year,Month,Day
11567,Panthers," • 2017 third round pick (more favorable of Coyotes, Red Wings picks) (#66-Max Gildon)• 2018 conditional round pick (second round if Crouse plays 10 games for the Coyotes in 2016-17 and he is not traded before the end of the first round of the 2017 draft, else third round) (#34-Serron Noel)", • Lawson Crouse• Dave Bolland,Coyotes,2,2,2016,8,25
11568,Blues, • Nail Yakupov," • Zachary Pochiro / Zach Pochiro• 2017 conditional round pick (second round if Yakupov scores 15 or more goals with Blues in 2016-17, else third round) (#82-Cameron Crotty / Cam Crotty)",Oilers,2,1,2016,10,7
11569,Oilers," • Zachary Pochiro / Zach Pochiro• 2017 conditional round pick (second round if Yakupov scores 15 or more goals with Blues in 2016-17, else third round) (#82-Cameron Crotty / Cam Crotty)", • Nail Yakupov,Blues,1,2,2016,10,7
11570,Canadiens, • Jonathan Racine, • Tim Bozon,Panthers,1,1,2016,10,8
11571,Panthers, • Tim Bozon, • Jonathan Racine,Canadiens,1,1,2016,10,8
11572,Hurricanes, • Connor Brickley, • Brody Sutter,Panthers,1,1,2016,10,11
11573,Panthers, • Brody Sutter, • Connor Brickley,Hurricanes,1,1,2016,10,11
11574,Penguins, • 2017 fifth round pick (#152-Jan Drozg), • Mike Condon,Senators,1,1,2016,11,2
11575,Senators, • Mike Condon, • 2017 fifth round pick (#152-Jan Drozg),Penguins,1,1,2016,11,2
11576,Rangers, • Steven Kampfer• 2018 conditional seventh round pick (if McIlrath plays 30 games for Panthers in 2016-17) (not exercised), • Dylan McIlrath,Panthers,1,2,2016,11,8
11577,Panthers, • Dylan McIlrath, • Steven Kampfer• 2018 conditional seventh round pick (if McIlrath plays 30 games for Panthers in 2016-17) (not exercised),Rangers,2,1,2016,11,8
11578,Devils, • Petr Straka, • 2017 or 2018 conditional seventh round pick (not exercised),Flyers,1,1,2016,11,12
11579,Flyers, • 2017 or 2018 conditional seventh round pick (not exercised), • Petr Straka,Devils,1,1,2016,11,12
11580,Ducks, • Logan Shaw, • Michael Sgarbossa,Panthers,1,1,2016,11,16
11581,Panthers, • Michael Sgarbossa, • Logan Shaw,Ducks,1,1,2016,11,16
11582,Blues, • Reid McNeill, • Danny Kristo,Penguins,1,1,2016,11,19
11583,Penguins, • Danny Kristo, • Reid McNeill,Blues,1,1,2016,11,19
11584,Avalanche, • Cody Goloubef, • Ryan Stanton,BlueJackets,1,1,2016,11,28
11585,BlueJackets, • Ryan Stanton, • Cody Goloubef,Avalanche,1,1,2016,11,28
11586,Coyotes, • Peter Holland, • 2018 conditional sixth round pick (if Coyotes re-sign or trade Holland) (?-?),MapleLeafs,1,1,2016,12,9
11587,MapleLeafs, • 2018 conditional sixth round pick (if Coyotes re-sign or trade Holland) (?-?), • Peter Holland,Coyotes,1,1,2016,12,9
11588,Avalanche, • Gus Young, • future considerations (?),Blues,1,1,2016,12,18
11589,Blues, • future considerations (?), • Gus Young,Avalanche,1,1,2016,12,18
11590,Ducks, • Jhonas Enroth, • 2018 seventh round pick (#209-Zachary Bouthillier),MapleLeafs,1,1,2017,1,11
11591,MapleLeafs, • 2018 seventh round pick (#209-Zachary Bouthillier), • Jhonas Enroth,Ducks,1,1,2017,1,11
11592,Avalanche, • Felix Girard, • Cody McLeod,Predators,1,1,2017,1,13
11593,Predators, • Cody McLeod, • Felix Girard,Avalanche,1,1,2017,1,13
11594,Ducks, • Max Gortz, • Andrew O'Brien,Predators,1,1,2017,1,20
11595,Predators, • Andrew O'Brien, • Max Gortz,Ducks,1,1,2017,1,20
11596,Blackhawks, • Michael Latta, • Cameron Schilling,Kings,1,1,2017,1,21
11597,Kings, • Cameron Schilling, • Michael Latta,Blackhawks,1,1,2017,1,21
11598,Senators, • Tommy Wingels, • Buddy Robinson• Zack Stortini• 2017 seventh round pick (#214-Matthew Hellickson),Sharks,3,1,2017,1,24
11599,Sharks, • Buddy Robinson• Zack Stortini• 2017 seventh round pick (#214-Matthew Hellickson), • Tommy Wingels,Senators,1,3,2017,1,24
11600,Canadiens, • Nikita Nesterov, • Jonathan Racine• 2017 sixth round pick (#180-Cole Guttman),Lightning,2,1,2017,1,26
11601,Lightning, • Jonathan Racine• 2017 sixth round pick (#180-Cole Guttman), • Nikita Nesterov,Canadiens,1,2,2017,1,26
11602,Coyotes, • Brendan Ranford• Branden Troock, • Justin Peters• Justin Hache,Stars,2,2,2017,2,1
11603,Coyotes, • Mitchell Moroz / Mitch Moroz, • Henrik Samuelsson,Oilers,1,1,2017,2,1
11604,Oilers, • Henrik Samuelsson, • Mitchell Moroz / Mitch Moroz,Coyotes,1,1,2017,2,1
11605,Senators, • Marc Hagel, • future considerations (?),Wild,1,1,2017,2,1
11606,Stars, • Justin Peters• Justin Hache, • Brendan Ranford• Branden Troock,Coyotes,2,2,2017,2,1
11607,Wild, • future considerations (?), • Marc Hagel,Senators,1,1,2017,2,1
11608,Devils, • 2017 fourth round pick (#123-Brandon Crawley), • Vernon Fiddler,Predators,1,1,2017,2,4
11609,Predators, • Vernon Fiddler, • 2017 fourth round pick (#123-Brandon Crawley),Devils,1,1,2017,2,4
11610,Capitals, • Tom Gilbert, • 2017 conditional fifth round pick (if Capitals advance to third round of 2017 playoffs and Gilbert plays in 50% of the games) (not exercised),Kings,1,1,2017,2,15
11611,Kings, • 2017 conditional fifth round pick (if Capitals advance to third round of 2017 playoffs and Gilbert plays in 50% of the games) (not exercised), • Tom Gilbert,Capitals,1,1,2017,2,15
11612,Devils, • Viktor Loov, • Sergey Kalinin / Sergei Kalinin,MapleLeafs,1,1,2017,2,18
11613,MapleLeafs, • Sergey Kalinin / Sergei Kalinin, • Viktor Loov,Devils,1,1,2017,2,18
11614,Coyotes, • 2017 third round pick (#78-Stuart Skinner)• 2018 conditional fifth round pick (if Stone re-signs with Flames before start of 2017-18 season) (#136-Akira Schmid), • Michael Stone,Flames,1,2,2017,2,20
11615,Flames, • Michael Stone, • 2017 third round pick (#78-Stuart Skinner)• 2018 conditional fifth round pick (if Stone re-signs with Flames before start of 2017-18 season) (#136-Akira Schmid),Coyotes,2,1,2017,2,20
11616,Canadiens, • Keegan Lowe, • Philip Samuelsson,Hurricanes,1,1,2017,2,21
11617,Hurricanes, • Philip Samuelsson, • Keegan Lowe,Canadiens,1,1,2017,2,21
11618,Hurricanes, • Danny Kristo• 2017 second round pick (#62-Jake Leschyshyn), • Ron Hainsey,Penguins,1,2,2017,2,23
11619,Penguins, • Ron Hainsey, • Danny Kristo• 2017 second round pick (#62-Jake Leschyshyn),Hurricanes,2,1,2017,2,23
11620,Blackhawks, • Tomas Jurco, • 2017 third round pick (#88-Keith Petruzzelli),RedWings,1,1,2017,2,24
11621,Ducks, • Patrick Eaves," • 2017 conditional round pick (first round if Ducks advance to 2017 Western Conference Finals and Eaves plays in at least half their games in first two rounds, else second round) (#29-Henri Jokiharju)",Stars,1,1,2017,2,24
11622,RedWings, • 2017 third round pick (#88-Keith Petruzzelli), • Tomas Jurco,Blackhawks,1,1,2017,2,24
11623,Stars," • 2017 conditional round pick (first round if Ducks advance to 2017 Western Conference Finals and Eaves plays in at least half their games in first two rounds, else second round) (#29-Henri Jokiharju)", • Patrick Eaves,Ducks,1,1,2017,2,24
11624,Coyotes, • Jeremy Morin, • Stefan Fournier,Lightning,1,1,2017,2,25
